0.7320778621	0
1.049092253	0.75
1.247055732	1.5
1.407596338	2.25
1.572663393	3
1.742015438	3.75
1.889364683	4.5
2.045943374	5.25
2.210269433	6
2.436337557	6.75
2.619252407	7.5
2.81117521	8.25
3.029951372	9
3.216277941	9.75
3.392021096	10.5
3.560953914	11.25
3.75425939	12
3.910199265	12.75
4.056258064	13.5
4.188743805	14.25
4.34974469	15
4.475600445	15.75
4.62188765	16.5
4.723247093	17.25
4.837704578	18
4.923320656	18.75
5.032271749	19.5
5.109268996	20.25
5.199942675	21
5.225520823	21.75
5.303968242	22.5
5.380398395	23.25
5.435401416	24
5.509376246	24.75
5.571640635	25.5
5.602750033	26.25
5.653060767	27
5.704563969	27.75
5.726825636	28.5
5.768564374	29.25
5.808178047	30
5.842936874	30.75
5.851637287	31.5
5.886520869	32.25
5.922394611	33
5.920933642	33.75
5.954022174	34.5
5.985157022	35.25
6.014396647	36
6.027136294	36.75
6.056589489	37.5
6.078117158	38.25
6.106936974	39
6.131922609	39.75
6.156463311	40.5
6.151514377	41.25
6.17494517	42
6.198483725	42.75
6.219140277	43.5
6.240362685	44.25
6.253146501	45
6.249188925	45.75
6.266551032	46.5
6.289552099	47.25
6.304758895	48
6.324778898	48.75
6.341525642	49.5
6.357006256	50.25
6.35967079	51
6.374193741	51.75
6.391255141	52.5
6.406673369	53.25
6.421428984	54
6.437776293	54.75
6.448146628	55.5
